Authors,Title
"Mumtaz, Guan, Yue, Zhang, He",Hybrid spider monkey optimisation algorithm for multi-level planning and scheduling problems of assembly lines
"Nyporko A., Chrpa L.",Modelling and solving industrial production tasks as planning-scheduling tasks
"Park J., Lee H., So B., Kim Y., Kim B.H., Chung Y., Ko K., Kang J., Park B.C.",New key performance indices for complex manufacturing scheduling
"Park K.-T., Lee J.-Y., Park M.-W., Park Y.H., Lee J.-Y., Choi Y.-H.",Models and P4R asset description for digital twin-based advanced planning and scheduling using cyber-physical integration for resilient production operation
"Pauker F., Mangler J., Rinderle-Ma S., Pollak C.",Centurio.work - Modular secure manufacturing orchestration
Peng et al.,A Hybrid Algorithm Incorporating Sequencing Flexibility for the Integrated Process Planning and Scheduling (IPPS) Problem
"Petrovic, Vukovic, Mitic, Miljkovic",Integration of process planning and scheduling using chaotic particle swarm optimization algorithm
"Quintanilla, Cardin, Lanton, Castagna",A Petri net-based methodology to increase flexibility in service-oriented holonic manufacturing systems
"Ramya, Chandrasekaran, Shankar",Case Study Analysis of Job Shop Scheduling and its Integration with Material Requirement Planning
"Rauf, Guan Yue, Guo, Mumtaz, Ullah",Integrated Planning and Scheduling of Multiple Manufacturing Projects Under Resource Constraints Using Raccoon Family Optimization Algorithm
"Raza, Yuan, Wang, Liu, Hu",Enhancing Manufacturing Efficiency Through Symmetry-Aware Adaptive ACO Algorithm for IPPS
"Rossi, Lanzetta",Integration of hybrid additive/subtractive manufacturing planning and scheduling by metaheuristics
"Sajadi, Alizadeh",Robust and stable flexible job shop scheduling with random machine breakdowns: multi-objectives genetic algorithm approach
"Shi, Yang, Xu, Quan",Solving the integrated process planning and scheduling problem using an enhanced constraint programming-based approach
"Weichhart , J. Mangler, A. Raschendorfer, C. Mayr-Dorn, C. Huemer, A. Hämmerle, A. Pichler",An adaptive system-of-systems approach for resilient manufacturing
"Wen, Li, Gao, Wang, Li",Modified honey bees mating optimization algorithm for multi-objective uncertain integrated process planning and scheduling problem
"Wen, Lian, Qian, Zhang, Wang, Li",Dynamic Scheduling Method for Integrated Process Planning and Scheduling (IPPS) with Machine Fault.
"Wen, Qian, Lian, Li, Wang, Zhang",Improved genetic algorithm for integrated process planning and scheduling in distributed heterogeneous manufacturing environment
"Wen, Qian. Lian, Zhang, Wang, Li",Improved genetic algorithm based on multi-layer encoding for integrated process planning and scheduling
"Wu, Li",Two Layered Approaches Integrating Harmony Search with Genetic Algorithm for the Integrated Process Planning and Scheduling Problem
"Xi Gu, Xiaoning Jin, Jun Ni, Yoram Koren",Manufacturing System Design for Resilience
"Xia, Li, Gao",A Hybrid Genetic Algorithm with Variable Neighborhood Search for Dynamic Integrated Process Planning and Scheduling
"Yang, Tan, Tian, Jiang, Chen, Lu, Liu, Yuan",Integrated Optimization of Process Planning and Scheduling for Aerospace Complex Component Based on Honey-Bee Mating Algorithm
"Yu, Zhang, Chen, Zhang",Integration of Process Planning and Scheduling Using a Hybrid GA–PSO Algorithm
"Zhang, Benyoucef, Sialat",An Energy-efficient Multi Objectives MILP Model for Integrated Process Planing and Scheduling in RMS
"Zhang, Fu, Gao, Zhang, Wang",Cooperative Evolutionary Algorithm with Simulated Annealing for Integrated Scheduling of Distributed Flexible Job Shops and Distribution
"Zhang, Jiang, Zhang, Gu",Energy-aware integration of process planning and scheduling of advanced machining workshop
"Zhang, Li, Gao, Liu",Constraint programming-based layered method for integrated process planning and scheduling in extensive flexible manufacturing
"Zhang, Liao, Ma, Yao",Hierarchical multistrategy genetic algorithm for integrated process planning and scheduling
"Zhang, Wong",An object-coding genetic algorithm for integrated process planning and scheduling
"Zhang, Wong",Integrated process planning and scheduling: an enhanced ant colony optimization heuristic with parameter tuning
"Zhang, Xu, Yu, Zhang, Yu",Combining Extended Imperialist Competitive Algorithm with a Genetic Algorithm to Solve the Distributed Integration of Process Planning and Scheduling Problem
"Zhang, Zhu, Tang, Zhou, Gui",Dynamic job shop scheduling based on deep reinforcement learning for multi-agent manufacturing systems
"Zheng, Chen, Liu, Zhuang",Real-time dynamic integrated process planning and scheduling with reconfigurable manufacturing cells via multi-agent reinforcement learning
"Zheng, Kobayashi, et al.",MLCP: A Framework Integrating with Machine Learning and Optimization for Planning and Scheduling in Manufacturing and Services
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
